FRM_index,FRM_q50,FRM_q60,FRM_q70,FRM_q80,FRM_q90,FRM_iqr,VSTOXX,CISS,FT,date
0.121991751886963,0.0998809866386393,0.126383446726036,0.133156983765626,0.156096947514197,0.153130960903058,0.180045172056413,0.0913478810977991,0.0849439195781226,0.16706445199865,2007-04-02
0.125534103200282,0.107495177670265,0.12004459333065,0.1294210465032,0.146773377822923,0.150427747212745,0.1422362560723,0.0726503069401272,0.0846350562160719,0.111254822433798,2007-04-03
0.127591318053385,0.115366018181927,0.10638170179701,0.135797474886691,0.165096829487557,0.152238029778706,0.175594644329496,0.0658606559510978,0.0851036598680728,0.103512610402611,2007-04-04
0.146337876389411,0.140945464723225,0.138163129702284,0.132291957539424,0.154550254570284,0.200137434237886,0.176194371293578,0.0618097752229807,0.08558082332064,0.101519459966802,2007-04-05
0.140612401360259,0.127119229154541,0.136450688680328,0.127740415971072,0.153679546308146,0.16899810303415,0.173188292445553,0.0618097752229807,0.0852976393602885,0.101006722908326,2007-04-06
0.144470724298761,0.137536425956192,0.135925714933062,0.133148269428134,0.162416908172523,0.175139202151638,0.19311034304518,0.0618097752229807,0.078331030062211,0.101006722908326,2007-04-09
0.130776796285762,0.134613253023461,0.125326764226797,0.10655958917548,0.145338496173985,0.137761862204319,0.122136291411384,0.0652709872589908,0.0757233721015411,0.145793662753619,2007-04-10
0.121532169488723,0.115570121558967,0.108281597902776,0.113743117173101,0.142996550636795,0.129477935671638,0.171693305662534,0.0822177790968306,0.0739633632786079,0.172305596582952,2007-04-11
0.1153065472241,0.107333351093113,0.117806277687741,0.103825837224747,0.136516671751869,0.120525686063636,0.139958033854087,0.0833528587867143,0.0736452295344464,0.156088787109414,2007-04-12
0.114563878088631,0.10910624671832,0.115951518160138,0.117332694161223,0.127226339084994,0.124707403102073,0.156632911551467,0.0755752198566051,0.0753631968100917,0.157436721580206,2007-04-13
0.134195189132135,0.144916331904716,0.136349311340398,0.14228218438083,0.141645502403032,0.140299823374298,0.144809226443897,0.0787956179675826,0.0918845871789493,0.162413452870757,2007-04-16
0.128744646136198,0.132410019912479,0.135405717492481,0.137532464048981,0.139428946383645,0.130015786210744,0.166878905134802,0.0845530233212015,0.0983825161468026,0.136158750052664,2007-04-17
0.123336585419004,0.1109847760297,0.123291958339627,0.127796780766083,0.132183369076202,0.126380896760103,0.13238292118365,0.0967564316843437,0.103850896295398,0.131170697474945,2007-04-18
0.122620491678934,0.114494677517319,0.121436216601512,0.116742883078656,0.124192993625435,0.139973122227619,0.129266342898526,0.1040667614302,0.10737475867971,0.187015424853483,2007-04-19
0.130108185442518,0.14201840630695,0.137152743418227,0.118337360741543,0.143013455403155,0.14365922044826,0.115346417144635,0.0973174630448252,0.108039134354715,0.231350806364313,2007-04-20
0.121367470277247,0.122609944778942,0.124309415076271,0.10862017431534,0.126135552569618,0.127261418504156,0.0979326959304197,0.0987987941079992,0.0916607230460495,0.0945866511051826,2007-04-23
0.112221836435228,0.110410945662384,0.118760315551968,0.105577251633393,0.123561722062762,0.116363936036232,0.130652410802558,0.102515138734855,0.0826114491291078,0.193700761900643,2007-04-24
0.123958221969489,0.141894102764385,0.132220282270121,0.145004210460836,0.142479580107128,0.118010496620721,0.163488636464871,0.0922851028600884,0.0731812405532153,0.186857883235769,2007-04-25
0.109690731846693,0.12389915908606,0.110724337187389,0.100422969047482,0.109445314413052,0.122911181215119,0.0969441878318509,0.0927888595573189,0.0642184775672176,0.205202927088013,2007-04-26
0.107615136620597,0.113140111176819,0.102737083038417,0.101224695763931,0.103460363773245,0.109144348839046,0.0869251020217598,0.095393555038348,0.0565715404199602,0.240214142455708,2007-04-27
0.123997395443313,0.131758899361631,0.123967736105502,0.135997908876859,0.142282242590024,0.124718487606804,0.154727278811132,0.0995537783053989,0.0449029424032094,0.197920911098956,2007-04-30
0.118730567561375,0.125612153007456,0.1201227757032,0.117844586748323,0.114585572865712,0.133404519005955,0.111367969967846,0.0995537783053989,0.0440052543753907,0.204705295066045,2007-05-01
