ticker,V2X.INDEX
2007-01-02,14.6795
2007-01-03,14.7294
2007-01-04,15.063
2007-01-05,16.3518
2007-01-08,16.8783
2007-01-09,16.6287
2007-01-10,17.2546
2007-01-11,15.0516
2007-01-12,14.5839
2007-01-15,14.7277
2007-01-16,15.7299
2007-01-17,16.0961
2007-01-18,16.2548
2007-01-19,14.9526
2007-01-22,16.02
2007-01-23,16.0071
2007-01-24,14.8436
2007-01-25,15.378
2007-01-26,15.8256
2007-01-29,16.1201
2007-01-30,15.1698
2007-01-31,15.9174
2007-02-01,15.1284
2007-02-02,14.142
2007-02-05,14.3621
2007-02-06,14.411
2007-02-07,13.9667
2007-02-08,14.2559
2007-02-09,13.9194
2007-02-12,15.1052
2007-02-13,14.7057
2007-02-14,13.9087
2007-02-15,13.8324
2007-02-16,13.451
2007-02-19,13.4146
2007-02-20,13.7441
2007-02-21,14.1864
2007-02-22,13.873
2007-02-23,13.7426
2007-02-26,13.7887
2007-02-27,17.7266
2007-02-28,19.4973
2007-03-01,20.0117
2007-03-02,20.2958
2007-03-05,21.8043
2007-03-06,20.3619
2007-03-07,19.4295
2007-03-08,18.153
2007-03-09,18.0655
2007-03-12,19.247
2007-03-13,20.4797
2007-03-14,23.5255
2007-03-15,21.685
2007-03-16,21.0814
2007-03-19,19.8187
2007-03-20,18.8199
2007-03-21,18.7894
2007-03-22,17.3756
2007-03-23,17.065
2007-03-26,19.0859
2007-03-27,18.7301
2007-03-28,19.7865
2007-03-29,18.3156
2007-03-30,17.5427
2007-04-02,17.7075
2007-04-03,16.2711
2007-04-04,15.7495
2007-04-05,15.4383
2007-04-06,15.4383
2007-04-09,15.4383
2007-04-10,15.7042
2007-04-11,17.0061
2007-04-12,17.0933
2007-04-13,16.4958
2007-04-16,16.7432
2007-04-17,17.1855
2007-04-18,18.123
2007-04-19,18.6846
2007-04-20,18.1661
2007-04-23,18.2799
2007-04-24,18.5654
2007-04-25,17.7795
2007-04-26,17.8182
2007-04-27,18.0183
2007-04-30,18.3379
2007-05-01,18.3379
2007-05-02,18.1807
2007-05-03,17.7993
2007-05-04,17.0574
2007-05-07,17.1331
2007-05-08,17.6021
2007-05-09,17.2449
2007-05-10,17.8736
2007-05-11,17.4643
2007-05-14,18.0399
2007-05-15,17.6714
2007-05-16,17.6907
2007-05-17,17.4461
2007-05-18,16.0852
2007-05-21,16.1341
2007-05-22,15.9025
2007-05-23,15.6061
2007-05-24,16.718
2007-05-25,15.9927
2007-05-28,15.9927
2007-05-29,16.3646
2007-05-30,16.4949
2007-05-31,15.7865
2007-06-01,15.2943
2007-06-04,16.505
2007-06-05,16.5452
2007-06-06,18.537
2007-06-07,19.5603
2007-06-08,18.8901
2007-06-11,18.2508
2007-06-12,18.8332
2007-06-13,18.5551
2007-06-14,16.872
2007-06-15,15.9641
2007-06-18,16.7665
2007-06-19,16.1299
2007-06-20,15.9242
2007-06-21,16.9599
2007-06-22,17.3112
2007-06-25,17.8097
2007-06-26,18.9275
2007-06-27,18.9061
2007-06-28,17.7652
2007-06-29,16.8985
2007-07-02,17.6313
2007-07-03,16.8133
2007-07-04,16.8956
2007-07-05,17.9114
2007-07-06,16.7459
2007-07-09,17.0812
2007-07-10,18.3362
2007-07-11,18.6717
2007-07-12,17.519
2007-07-13,17.3416
2007-07-16,17.6558
2007-07-17,18.0287
2007-07-18,19.2674
2007-07-19,17.827
2007-07-20,19.3499
2007-07-23,19.1697
2007-07-24,20.6952
2007-07-25,22.19
2007-07-26,25.1589
2007-07-27,25.2216
2007-07-30,25.8376
2007-07-31,23.8246
2007-08-01,27.474
2007-08-02,24.7526
2007-08-03,25.5517
2007-08-06,26.2291
2007-08-07,24.6108
2007-08-08,21.9195
2007-08-09,25.4669
2007-08-10,30.7365
2007-08-13,27.704
2007-08-14,29.0197
2007-08-15,29.1764
2007-08-16,34.7419
2007-08-17,32.4534
2007-08-20,31.1272
2007-08-21,29.0309
2007-08-22,26.4955
2007-08-23,26.0374
2007-08-24,24.4903
2007-08-27,24.4916
2007-08-28,27.3264
2007-08-29,26.5383
2007-08-30,25.2691
2007-08-31,24.4721
2007-09-03,24.1984
2007-09-04,23.4818
2007-09-05,25.7805
2007-09-06,25.6304
2007-09-07,27.8225
2007-09-10,29.4452
2007-09-11,27.9485
2007-09-12,27.0705
2007-09-13,25.9084
2007-09-14,26.5545
2007-09-17,29.0329
2007-09-18,27.6565
2007-09-19,23.5658
2007-09-20,22.1601
2007-09-21,20.4261
2007-09-24,20.3965
2007-09-25,20.8683
2007-09-26,19.73
2007-09-27,19.1961
2007-09-28,19.7088
2007-10-01,19.9113
2007-10-02,19.9703
2007-10-03,20.249
2007-10-04,19.784
2007-10-05,17.8749
2007-10-08,18.1816
2007-10-09,17.5228
2007-10-10,17.8986
2007-10-11,18.2208
2007-10-12,18.3524
2007-10-15,20.0448
2007-10-16,20.4738
2007-10-17,20.0223
2007-10-18,19.9299
2007-10-19,19.7216
