Month,SRISK
2007-04,282
2007-05,243
2007-06,268
2007-07,341
2007-08,399
2007-09,437
2007-10,465
2007-11,567
2007-12,608
2008-01,589
2008-02,743
2008-03,817
2008-04,811
2008-05,812
2008-06,875
2008-07,988
2008-08,958
2008-09,961
2008-10,793
2008-11,907
2008-12,915
2009-01,936
2009-02,997
2009-03,982
2009-04,933
2009-05,844
2009-06,751
2009-07,703
2009-08,609
2009-09,621
2009-10,588
2009-11,559
2009-12,528
2010-01,521
