FRM_index,FRM_q50,FRM_q60,FRM_q70,FRM_q80,FRM_q90,FRM_iqr,VIX,SRISK,FT,GT,date
0.0617475698660052,0.0747840205670253,0.0657901815767085,0.0678523848854283,0.0651296348559338,0.0595565024414094,0.0794182873383,0.0420238931834153,0.0380958205345948,0.0444271845910989,0.0177687759036944,2007-04-02
0.0619057319890312,0.0688648420973321,0.0649727030522948,0.0618207734314392,0.0615973299149349,0.0568526741932866,0.0696996363043794,0.0269852424455376,0.0357221956543744,0.0452190882668068,0.0206258631360797,2007-04-03
0.0503801265583986,0.0539840348110799,0.0574500458031871,0.0539555840966726,0.0533275580181438,0.0519748360152535,0.0661577871632021,0.0238931834153198,0.0334302222383657,0.0388503014022011,0.0241287338406852,2007-04-04
0.0534585091853333,0.0583632408158815,0.0570640754611966,0.0597360167472351,0.0518276043889519,0.0534757263998503,0.0669430122904672,0.0237526352775826,0.0312193674739577,0.0411425157219114,0.0280895012543953,2007-04-05
0.0510095021849038,0.0541858177077566,0.054573073715478,0.058496697296386,0.0465383562230016,0.058646772314959,0.0558814958582723,0.0237526352775826,0.02908909854854,0.0411425157219114,0.0323202786140943,2007-04-06
0.0432639635778983,0.038167605118363,0.0476998207538034,0.0508758462192703,0.0397547692427383,0.0454663783180557,0.065853287922902,0.022487702037948,0.0231764786801207,0.044301884106862,0.0447518549026822,2007-04-09
0.0466382370564948,0.0451565407522417,0.0461458693797483,0.0494134675674332,0.0468851671983889,0.0550462683395844,0.0696919558388966,0.016022487702038,0.0213632249845566,0.0460441103290661,0.0481701695681827,2007-04-10
0.0491777736708945,0.0497840445728443,0.0486410305894351,0.0502671776678307,0.0473298888191954,0.0634921056779771,0.0577633935438808,0.0274068868587491,0.0196278930649293,0.036507792211267,0.0508956863406699,2007-04-11
0.0496851226429364,0.0574497373828433,0.0490502712595696,0.0426271453026383,0.0491788606195594,0.055950436216266,0.0556303530917277,0.0164441321152495,0.0179699501086279,0.05023323559101,0.0527288314453164,2007-04-12
0.0497935933614243,0.0600394888781168,0.046507522935686,0.0509489750429497,0.0497841713582038,0.0631172175956069,0.0700621870142957,0.00927617709065355,0.0163888633030418,0.0376239233635815,0.0534700311072947,2007-04-13
0.0451513541420826,0.0507906501995896,0.0477523471401545,0.0485115477427238,0.0463492946508368,0.0459071332375177,0.0684557583531626,0.00618411806043572,0.0121014116644683,0.123457243807043,0.0472706824879265,2007-04-16
0.0492629370118895,0.0449749994346413,0.038678889632069,0.0452529739707249,0.0456206899341124,0.0473129134062984,0.0574486794668656,0.00843288826423052,0.0108224213356365,0.0857915974331449,0.0425196022238267,2007-04-17
0.0510453837372095,0.0526539647363016,0.0454286335296474,0.0511808215338957,0.0488724208730687,0.0458460887943263,0.0640835458761136,0.0123682361208714,0.00961762309446647,0.0849025169784739,0.0371722612306981,2007-04-18
0.0479451659300239,0.0518535081950181,0.0410636097544899,0.0404645364468023,0.0411604145465812,0.066122021900149,0.0348731287630986,0.0140548137737175,0.00848648412834759,0.119158239972191,0.0317758625276016,2007-04-19
0.0469273619455782,0.0513505771678707,0.0402809236827049,0.0416483419382718,0.0557007607948332,0.0583093209666361,0.0794469027625942,0.00744905130007029,0.00742847162466914,0.0910411970512567,0.0268776091335984,2007-04-20
0.0438737214162609,0.0431720221868708,0.0357088336927927,0.0442420779428337,0.0526888745604893,0.0562621523984542,0.0549985424682192,0.0210822206605762,0.00468786476216941,0.130956752132394,0.0204551328264724,2007-04-23
0.0456731809663092,0.0480053312144875,0.0401983022054629,0.050745124801294,0.0516722407998699,0.051686900780565,0.0776812646172137,0.0222066057624736,0.00391702998214576,0.191940182004428,0.0217011636674563,2007-04-24
0.0431769270117501,0.044206880573881,0.0423052185462107,0.0430534901394174,0.0390788798586751,0.0370196795817265,0.043437057349304,0.0234715390021082,0.00321665760150904,0.104965845886451,0.0239179368694179,2007-04-25
0.0423686586509628,0.0411622537575884,0.0366256121177663,0.0455171036219836,0.0417293477264142,0.0446106313083934,0.0587514064633678,0.0175685172171469,0.00258621480764859,0.10500757321292,0.0265209464297078,2007-04-26
0.0430067620377591,0.0365084225170451,0.0304500912365559,0.0528737803985187,0.0516970243374151,0.0457069300777501,0.0704611297586238,0.0127898805340829,0.00202516878795374,0.110828142755182,0.0289256863456769,2007-04-27
0.043143207589338,0.0354370100732751,0.0414409519281768,0.05117347370464,0.0525079000844366,0.0415625103849722,0.0704695459022062,0.0376669009135629,0.000753083247755592,0.141759653425564,0.0292816266118487,2007-04-30
0.0387088543817361,0.0345257254006709,0.0304887815862799,0.0419195387538783,0.0399827923434661,0.0454242745317321,0.0624519773695006,0.0276879831342235,0.000464296198616067,0.134569523915268,0.0262830167988149,2007-05-01
0.0453241237281354,0.0402715039385765,0.0405089433398644,0.0437622899803446,0.0474683918112689,0.0433700129175935,0.0639656190633878,0.021644413211525,0.00024238259883208,0.142507024827777,0.0222803882563961,2007-05-02
0.0420233071375819,0.0421366315369966,0.0393060127734004,0.0472137959533303,0.0435057405361254,0.0363802821732452,0.0562738880327041,0.0217849613492621,8.75133270100817e-05,0.12085452868989,0.0177476254460339,2007-05-03
0.0501328608341885,0.0468415959205913,0.0450723279012443,0.053426795442294,0.0554951064772597,0.0523888239525451,0.0879953189874139,0.019255094869993,0,0.153375124267788,0.0131586128291701,2007-05-04
0.0504205744995575,0.050402260066723,0.0414267246675137,0.0411531292793458,0.0534154138443089,0.0601843798333139,0.0456194941667416,0.0226282501756852,0.000144711856340363,0.117384213312415,0.00367102624057255,2007-05-07
0.0497031125995288,0.0605634772634424,0.049891869492801,0.0490076712801032,0.0522917264199291,0.048078924690708,0.054604548718125,0.0234715390021082,0.000329738477077056,0.137848615524918,0.00274259741822169,2007-05-08
0.0507233977019162,0.0646389403438345,0.0505877284207772,0.0482096610239246,0.0482056884638591,0.0547614736237111,0.0580501939141733,0.0188334504567815,0.00058367912687519,0.0876014792224681,0.00266460693560977,2007-05-09
0.0548720394350634,0.0514933095865943,0.0524794404244911,0.0546905954702974,0.0491915035553691,0.0540290576701813,0.0608864194310436,0.0289529163738581,0.000906845422584723,0.0804879569606351,0.00317957217369445,2007-05-10
0.052423996596228,0.0602289705252396,0.0584189508276683,0.0598357336968468,0.0555616919556286,0.0483964214932239,0.0852317503229077,0.0198172874209417,0.00129954898105553,0.0686976280039464,0.0040300105134334,2007-05-11
