ym,FRM_index,FRM_q50,FRM_q60,FRM_q70,FRM_q80,FRM_q90,FRM_iqr,lag1_FRM_index,lag1_FRM_q50,lag1_FRM_q60,lag1_FRM_q70,lag1_FRM_q80,lag1_FRM_q90,lag1_FRM_iqr,lag2_FRM_index,lag2_FRM_q50,lag2_FRM_q60,lag2_FRM_q70,lag2_FRM_q80,lag2_FRM_q90,lag2_FRM_iqr,lag3_FRM_index,lag3_FRM_q50,lag3_FRM_q60,lag3_FRM_q70,lag3_FRM_q80,lag3_FRM_q90,lag3_FRM_iqr,lag4_FRM_index,lag4_FRM_q50,lag4_FRM_q60,lag4_FRM_q70,lag4_FRM_q80,lag4_FRM_q90,lag4_FRM_iqr,lag5_FRM_index,lag5_FRM_q50,lag5_FRM_q60,lag5_FRM_q70,lag5_FRM_q80,lag5_FRM_q90,lag5_FRM_iqr,lag6_FRM_index,lag6_FRM_q50,lag6_FRM_q60,lag6_FRM_q70,lag6_FRM_q80,lag6_FRM_q90,lag6_FRM_iqr,rec,date
2019-01,0.0334256808538444,0.0308257121006024,0.0333660528480954,0.0367234264155156,0.0412923431235885,0.0496503359699168,0.00681384270766392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2019-01-01
2019-02,0.0315815411500742,0.0294292075562967,0.0316889432210096,0.0346549223759146,0.0388803737645473,0.0450977767437648,0.00611797804263815,0.0334256808538444,0.0308257121006024,0.0333660528480954,0.0367234264155156,0.0412923431235885,0.0496503359699168,0.00681384270766392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2019-02-01
2019-03,0.0264723049390852,0.0251437965634524,0.026942678897916,0.0291712421865366,0.0322406946299211,0.0373934059517811,0.00497576794504139,0.0315815411500742,0.0294292075562967,0.0316889432210096,0.0346549223759146,0.0388803737645473,0.0450977767437648,0.00611797804263815,0.0334256808538444,0.0308257121006024,0.0333660528480954,0.0367234264155156,0.0412923431235885,0.0496503359699168,0.00681384270766392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2019-03-01
2019-04,0.0224736800726328,0.0205175365734442,0.0221295842154411,0.0240276269800713,0.0268135378721786,0.0324712046581999,0.00404732209135716,0.0264723049390852,0.0251437965634524,0.026942678897916,0.0291712421865366,0.0322406946299211,0.0373934059517811,0.00497576794504139,0.0315815411500742,0.0294292075562967,0.0316889432210096,0.0346549223759146,0.0388803737645473,0.0450977767437648,0.00611797804263815,0.0334256808538444,0.0308257121006024,0.0333660528480954,0.0367234264155156,0.0412923431235885,0.0496503359699168,0.00681384270766392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2019-04-01
2019-05,0.0223355127582095,0.0207716255305565,0.0225101001669373,0.0248812739659972,0.027721569853139,0.0317948245858178,0.00482440077237984,0.0224736800726328,0.0205175365734442,0.0221295842154411,0.0240276269800713,0.0268135378721786,0.0324712046581999,0.00404732209135716,0.0264723049390852,0.0251437965634524,0.026942678897916,0.0291712421865366,0.0322406946299211,0.0373934059517811,0.00497576794504139,0.0315815411500742,0.0294292075562967,0.0316889432210096,0.0346549223759146,0.0388803737645473,0.0450977767437648,0.00611797804263815,0.0334256808538444,0.0308257121006024,0.0333660528480954,0.0367234264155156,0.0412923431235885,0.0496503359699168,0.00681384270766392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2019-05-01
2019-06,0.0234174466041877,0.0214123448467014,0.0232486422434732,0.0256799953156645,0.0290133530209837,0.0356622485978701,0.0049934113314842,0.0223355127582095,0.0207716255305565,0.0225101001669373,0.0248812739659972,0.027721569853139,0.0317948245858178,0.00482440077237984,0.0224736800726328,0.0205175365734442,0.0221295842154411,0.0240276269800713,0.0268135378721786,0.0324712046581999,0.00404732209135716,0.0264723049390852,0.0251437965634524,0.026942678897916,0.0291712421865366,0.0322406946299211,0.0373934059517811,0.00497576794504139,0.0315815411500742,0.0294292075562967,0.0316889432210096,0.0346549223759146,0.0388803737645473,0.0450977767437648,0.00611797804263815,0.0334256808538444,0.0308257121006024,0.0333660528480954,0.0367234264155156,0.0412923431235885,0.0496503359699168,0.00681384270766392,NA,NA,NA,NA,NA,NA,NA,0,2019-06-01
2019-07,0.0236924879927451,0.0226978018367518,0.0243236851155022,0.0262585345679161,0.0291255464005869,0.0337340946808053,0.00459812138866681,0.0234174466041877,0.0214123448467014,0.0232486422434732,0.0256799953156645,0.0290133530209837,0.0356622485978701,0.0049934113314842,0.0223355127582095,0.0207716255305565,0.0225101001669373,0.0248812739659972,0.027721569853139,0.0317948245858178,0.00482440077237984,0.0224736800726328,0.0205175365734442,0.0221295842154411,0.0240276269800713,0.0268135378721786,0.0324712046581999,0.00404732209135716,0.0264723049390852,0.0251437965634524,0.026942678897916,0.0291712421865366,0.0322406946299211,0.0373934059517811,0.00497576794504139,0.0315815411500742,0.0294292075562967,0.0316889432210096,0.0346549223759146,0.0388803737645473,0.0450977767437648,0.00611797804263815,0.0334256808538444,0.0308257121006024,0.0333660528480954,0.0367234264155156,0.0412923431235885,0.0496503359699168,0.00681384270766392,0,2019-07-01
2019-08,0.0265214299236074,0.0245660914858265,0.0266100919641274,0.0290766176501294,0.0326000992253185,0.0379124515372674,0.0052619657783994,0.0236924879927451,0.0226978018367518,0.0243236851155022,0.0262585345679161,0.0291255464005869,0.0337340946808053,0.00459812138866681,0.0234174466041877,0.0214123448467014,0.0232486422434732,0.0256799953156645,0.0290133530209837,0.0356622485978701,0.0049934113314842,0.0223355127582095,0.0207716255305565,0.0225101001669373,0.0248812739659972,0.027721569853139,0.0317948245858178,0.00482440077237984,0.0224736800726328,0.0205175365734442,0.0221295842154411,0.0240276269800713,0.0268135378721786,0.0324712046581999,0.00404732209135716,0.0264723049390852,0.0251437965634524,0.026942678897916,0.0291712421865366,0.0322406946299211,0.0373934059517811,0.00497576794504139,0.0315815411500742,0.0294292075562967,0.0316889432210096,0.0346549223759146,0.0388803737645473,0.0450977767437648,0.00611797804263815,0,2019-08-01
2019-09,0.0288001721414273,0.0271165742407845,0.0295360308893106,0.0325690859434283,0.0364022317337627,0.0429620997351208,0.00639811394479988,0.0265214299236074,0.0245660914858265,0.0266100919641274,0.0290766176501294,0.0326000992253185,0.0379124515372674,0.0052619657783994,0.0236924879927451,0.0226978018367518,0.0243236851155022,0.0262585345679161,0.0291255464005869,0.0337340946808053,0.00459812138866681,0.0234174466041877,0.0214123448467014,0.0232486422434732,0.0256799953156645,0.0290133530209837,0.0356622485978701,0.0049934113314842,0.0223355127582095,0.0207716255305565,0.0225101001669373,0.0248812739659972,0.027721569853139,0.0317948245858178,0.00482440077237984,0.0224736800726328,0.0205175365734442,0.0221295842154411,0.0240276269800713,0.0268135378721786,0.0324712046581999,0.00404732209135716,0.0264723049390852,0.0251437965634524,0.026942678897916,0.0291712421865366,0.0322406946299211,0.0373934059517811,0.00497576794504139,0,2019-09-01
2019-10,0.0302894855100855,0.0285988570052254,0.0317937107522871,0.0353156528064464,0.0387440489324503,0.0442939004047751,0.00757071337040225,0.0288001721414273,0.0271165742407845,0.0295360308893106,0.0325690859434283,0.0364022317337627,0.0429620997351208,0.00639811394479988,0.0265214299236074,0.0245660914858265,0.0266100919641274,0.0290766176501294,0.0326000992253185,0.0379124515372674,0.0052619657783994,0.0236924879927451,0.0226978018367518,0.0243236851155022,0.0262585345679161,0.0291255464005869,0.0337340946808053,0.00459812138866681,0.0234174466041877,0.0214123448467014,0.0232486422434732,0.0256799953156645,0.0290133530209837,0.0356622485978701,0.0049934113314842,0.0223355127582095,0.0207716255305565,0.0225101001669373,0.0248812739659972,0.027721569853139,0.0317948245858178,0.00482440077237984,0.0224736800726328,0.0205175365734442,0.0221295842154411,0.0240276269800713,0.0268135378721786,0.0324712046581999,0.00404732209135716,0,2019-10-01
